"","word","frequency","phones"
"1","i",15.6784694460308,1
"2","airplane",0.253569388920617,5
"3","all",4.41404911479155,2
"4","all gone",0.0119931467732724,3
"5","animal",0.162764134780126,6
"6","another",1.27984009137636,5
"7","apple",0.316961736150771,3
"8","arm",0.179897201599086,2
"9","asleep",0.085665334094803,5
"10","aunt",0.018275271273558,3
"11","away",1.06282124500286,3
"12","baa baa",0.0114220445459737,2
"13","baby",2.82010279840091,4
"14","baby sitter",0.000571102227298686,8
"15","back",2.97372929754426,3
"16","backyard",0.0165619645916619,6
"17","bad",0.270702455739577,3
"18","ball",1.68932038834951,3
"19","balloon",0.138206739006282,5
"20","banana",0.143917761279269,6
"21","bath",0.214734437464306,3
"22","bathtub",0.00628212450028555,3
"23","bathroom",0.00228440890919475,6
"24","beach",0.159337521416334,4
"25","beads",0.067390062821245,4
"26","bear",0.600228440890919,2
"27","bed",0.755568246716162,3
"28","bedroom",0.000571102227298686,6
"29","bee",0.0885208452312964,2
"30","belly button",0.0085665334094803,8
"31","bib",0.110793832095945,3
"32","bicycle",0.05653912050257,6
"33","big",2.31182181610508,3
"34","bird",0.434037692747002,3
"35","bite",0.438606510565391,3
"36","blanket",0.163335237007424,7
"37","block",0.201599086236436,4
"38","blow",0.242718446601942,3
"39","blue",0.697886921758995,3
"40","book",2.20217018846374,3
"41","boots",0.0713877784123358,3
"42","bottle",0.333523700742433,4
"43","bowl",0.16105082809823,3
"44","box",1.18560822387207,4
"45","boy",1.75613934894346,2
"46","bread",0.17818389491719,4
"47","break",0.285551113649343,4
"48","breakfast",0.246716162193033,8
"49","bring",0.600228440890919,4
"50","broken",0.159908623643632,6
"51","broom",0.058252427184466,4
"52","brother",0.103369503141062,5
"53","brush",0.341519131924615,4
"54","bubbles",0.096516276413478,5
"55","bug",0.173615077098801,3
"56","bump",0.0805254140491148,4
"57","bunny",0.728726442033124,4
"58","bus",0.31296402055968,3
"59","butter",0.103369503141062,4
"60","butterfly",0.105653912050257,7
"61","button",0.235294117647059,4
"62","bye",0.275842375785266,2
"63","cake",0.254140491147915,3
"64","candy",0.0925185608223872,5
"65","car",1.20274129069103,2
"66","careful",0.564249000571102,5
"67","carrots",0.0850942318675043,6
"68","cat",0.555682467161622,3
"69","cereal",0.175328383780697,6
"70","chair",0.898343803540834,3
"71","cheek",0.0194174757281553,4
"72","cheerios",0.00171330668189606,5
"73","cheese",0.336950314106225,4
"74","chicken",0.323814962878355,6
"75","chicken",0.323814962878355,6
"76","child",0.0416904625928041,5
"77","choo choo",0.0239862935465448,3
"78","church",0.0371216447744146,5
"79","clean",0.458595088520845,4
"80","clean",0.458595088520845,4
"81","clock",0.0959451741861793,4
"82","close",0.498001142204455,4
"83","coat",0.121073672187322,3
"84","coffee",0.277555682467162,4
"85","cold",0.412335808109652,4
"86","comb",0.183894917190177,3
"87","cookie",0.316961736150771,4
"88","couch",0.0982295830953741,4
"89","cow",0.529982866933181,2
"90","cracker",0.0810965162764135,5
"91","crib",0.0679611650485437,4
"92","cry",0.170188463735009,3
"93","cup",0.441462021701885,3
"94","cute",0.254140491147915,4
"95","daddy",0.49114791547687,4
"96","dance",0.152484294688749,4
"97","dark",0.0793832095945174,3
"98","day",0.495145631067961,2
"99","deer",0.0331239291833238,2
"100","diaper",0.362649914334666,5
"101","dinner",0.256996002284409,4
"102","dirty",0.348372358652199,4
"103","dish",0.0479725870930897,3
"104","dog",0.673329525985151,3
"105","doll",0.29982866933181,3
"106","don't",8.9137635636779,4
"107","donkey",0.111364934323244,5
"108","door",0.605368360936608,2
"109","down",3.6973158195317,3
"110","draw",0.471730439748715,3
"111","drawer",0.0776699029126214,4
"112","dress",0.195888063963449,4
"113","drink",0.509423186750428,5
"114","drink",0.509423186750428,5
"115","drive",0.151342090234152,4
"116","dry",0.189605939463164,3
"117","duck",0.592804111936037,3
"118","ear",0.157624214734437,1
"119","eat",1.94688749286122,2
"120","egg",0.206739006282124,2
"121","elephant",0.261564820102798,7
"122","empty",0.0645345516847516,5
"123","eye",0.238720731010851,1
"124","face",0.484294688749286,3
"125","fall",0.47401484865791,3
"126","fast",0.206739006282124,4
"127","feed",0.190748143917761,3
"128","fine",0.14334665905197,3
"129","finger",0.284980011422045,5
"130","finish",0.300970873786408,5
"131","fire truck",0.0319817247287264,7
"132","fish",0.446030839520274,3
"133","fish",0.446030839520274,3
"134","flower",0.177041690462593,4
"135","food",0.380925185608224,3
"136","foot",0.523129640205597,3
"137","fork",0.0662478583666476,3
"138","frog",0.197030268418047,4
"139","garage",0.103940605368361,4
"140","garden",0.0622501427755568,4
"141","gentle",0.0919474585950885,5
"142","get",6.74243289548829,3
"143","giraffe",0.0896630496858938,5
"144","girl",1.3055396916048,3
"145","give",1.44603083952027,3
"146","glass",0.0930896630496859,4
"147","glasses",0.138777841233581,5
"148","go",9.06681896059395,2
"149","good",4.565962307253,3
"150","goose",0.0508280982295831,3
"151","grandma",0.0599657338663621,6
"152","grandpa",0.019988577955454,6
"153","grr",0.00114220445459737,3
"154","hair",0.924614505996573,2
"155","hammer",0.134209023415191,4
"156","hand",0.804111936036551,4
"157","happy",0.297544260422616,4
"158","hard",0.50885208452313,3
"159","hat",0.613363792118789,3
"160","head",0.840091376356368,3
"161","hello",0.774985722444318,4
"162","help",0.783552255853798,4
"163","her",2.59851513420902,2
"164","hi",1.23072529982867,2
"165","highchair",0.00628212450028555,5
"166","his",2.46145059965734,3
"167","hit",0.301541976013706,3
"168","home",0.685322672758424,3
"169","horse",0.352941176470588,3
"170","hot",0.427755568246716,3
"171","house",1.09308966304969,3
"172","how",3.18446601941748,2
"173","hug",0.179897201599086,3
"174","hungry",0.253569388920617,6
"175","hurry",0.0982295830953741,4
"176","hurt",0.484865790976585,3
"177","ice cream",0.114791547687036,6
"178","in",13.0074243289549,2
"179","inside",0.378640776699029,5
"180","it",24.9668760708167,2
"181","jacket",0.101656196459166,5
"182","jeans",0.00799543118218161,4
"183","juice",0.59565962307253,3
"184","jump",0.303826384922901,4
"185","keys",0.0890919474585951,3
"186","kick",0.100513992004569,3
"187","kiss",0.371216447744146,3
"188","kitchen",0.201027984009138,6
"189","kitty",1.18389491719018,4
"190","knee",0.0753854940034266,2
"191","lady",0.26956025128498,4
"192","lamb",0.0942318675042833,3
"193","lamp",0.0251284980011422,4
"194","later",0.304968589377499,4
"195","leg",0.18675042832667,3
"196","light",0.288406624785837,3
"197","lion",0.219874357509994,4
"198","little",4.35122786978869,4
"199","living room",0.00114220445459737,8
"200","look",6.75099942889777,3
"201","love",0.479154768703598,3
"202","lunch",0.350085665334095,5
"203","man",0.564820102798401,3
"204","me",5.58766419189035,2
"205","meat",0.0908052541404911,3
"206","medicine",0.0839520274129069,6
"207","meow",0.16504854368932,3
"208","milk",0.586521987435751,4
"209","mine",0.158766419189035,3
"210","mommy",0.556253569388921,2
"211","money",0.294688749286122,4
"212","monkey",0.20445459737293,5
"213","moo",0.225014277555682,2
"214","moon",0.11307824100514,3
"215","more",2.37407195888064,2
"216","morning",0.381496287835523,5
"217","motorcycle",0.110793832095945,8
"218","mouse",0.207310108509423,3
"219","mouth",0.842946887492861,3
"220","my",2.63049685893775,2
"221","nap",0.2175899486008,3
"222","naughty",0.0462592804111936,4
"223","necklace",0.0308395202741291,6
"224","nice",1.47058823529412,3
"225","night",0.420331239291833,3
"226","night night",0.0102798400913764,3
"227","no",9.8715019988578,2
"228","none",0.0456881781838949,3
"229","noodles",0.0451170759565962,5
"230","nose",0.802969731581953,3
"231","not",4.48372358652199,3
"232","now",4.38492290119931,2
"233","off",2.12164477441462,2
"234","old",0.378640776699029,3
"235","on",11.9371787549971,2
"236","open",0.941176470588235,4
"237","orange",0.44774414620217,5
"238","other",1.42432895488292,3
"239","ouch",0.10451170759566,3
"240","out",3.3055396916048,2
"241","outside",0.527698458023986,5
"242","oven",0.0616790405482581,3
"243","owie",0.0222729868646488,2
"244","owl",0.0742432895488292,2
"245","pajamas",0.115933752141633,7
"246","pants",0.303826384922901,4
"247","paper",0.535693889206168,4
"248","park",0.131353512278698,3
"249","party",0.178754997144489,4
"250","pattycake",0.116504854368932,7
"251","peas",0.0776699029126214,3
"252","peekaboo",0.653912050256996,6
"253","pen",0.0959451741861793,3
"254","penguin",0.0268418046830383,7
"255","penny",0.0359794403198173,4
"256","people",0.611079383209595,4
"257","person",0.0953740719588806,4
"258","picture",0.588235294117647,6
"259","pig",0.303255282695603,3
"260","pillow",0.0759565962307253,4
"261","pizza",0.0171330668189606,4
"262","plant",0.0508280982295831,5
"263","plate",0.127355796687607,4
"264","play",2.66761850371216,3
"265","please",0.912621359223301,4
"266","pony",0.049114791547687,4
"267","pool",0.0731010850942319,3
"268","potty",0.00685322672758424,4
"269","pretty",1.21473443746431,5
"270","pull",0.580239862935465,3
"271","puppy",0.166190748143918,4
"272","purse",0.0439748715019989,3
"273","push",0.814391776127927,3
"274","put",7.66933181039406,3
"275","quack quack",0.0685322672758424,4
"276","radio",0.067390062821245,5
"277","rain",0.110222729868646,3
"278","raisin",0.019988577955454,4
"279","read",1.17932609937179,3
"280","red",0.781838949171902,3
"281","refrigerator",0.102798400913764,11
"282","ride",0.400913763563678,3
"283","rock",0.119360365505425,3
"284","rocking chair",0.0114220445459737,8
"285","run",0.25642490005711,3
"286","same",0.24328954882924,3
"287","say",3.9583095374072,2
"288","scared",0.0805254140491148,4
"289","school",0.560251284980011,4
"290","scissors",0.0622501427755568,5
"291","see",8.86236436322102,2
"292","sheep",0.194745859508852,3
"293","shh",0.0456881781838949,1
"294","shirt",0.312392918332381,3
"295","shoe",0.275271273557967,2
"296","shorts",0.0399771559109081,4
"297","shovel",0.0468303826384923,4
"298","show",0.821245002855511,2
"299","sick",0.102798400913764,3
"300","sing",0.408338092518561,3
"301","sink",0.0513992004568818,4
"302","sister",0.123929183323815,5
"303","sky",0.0959451741861793,3
"304","sleep",0.439748715019989,4
"305","sleepy",0.186179326099372,5
"306","slide",0.127355796687607,4
"307","smile",0.0633923472301542,4
"308","snow",0.0999428897772701,3
"309","soap",0.10451170759566,3
"310","sock",0.137635636778983,3
"311","soft",0.154197601370645,4
"312","some",3.90291262135922,3
"313","spaghetti",0.0799543118218161,7
"314","splash",0.0719588806396345,5
"315","spoon",0.348372358652199,4
"316","squirrel",0.0548258138206739,6
"317","stairs",0.110793832095945,3
"318","star",0.0890919474585951,3
"319","stop",0.680182752712736,4
"320","store",0.271273557966876,3
"321","stove",0.0736721873215306,4
"322","stroller",0.0456881781838949,6
"323","sun",0.159337521416334,3
"324","sweater",0.0708166761850371,5
"325","swim",0.0770988006853227,4
"326","swing",0.110222729868646,4
"327","swing",0.110222729868646,4
"328","table",0.571673329525985,4
"329","take",2.43974871501999,3
"330","teacher",0.0542547115933752,5
"331","teddy bear",0.0913763563677898,7
"332","telephone",0.213592233009709,7
"333","thank you",0.111364934323244,6
"334","that",20.2073101085094,3
"335","there",9.32952598515134,2
"336","thirsty",0.0816676185037122,5
"337","this",11.6990291262136,3
"338","throw",0.805254140491148,3
"339","tickle",0.356938892061679,4
"340","tiger",0.135922330097087,4
"341","tired",0.33923472301542,4
"342","toast",0.0805254140491148,4
"343","today",0.822387207310109,4
"344","toe",0.118218161050828,2
"345","tomorrow",0.194745859508852,6
"346","tongue",0.149057681324957,3
"347","tonight",0.183323814962878,5
"348","tooth",0.0428326670474015,3
"349","toothbrush",0.0325528269560251,7
"350","touch",0.432324386065106,4
"351","towel",0.158195316961736,3
"352","toy",0.42604226156482,2
"353","train",0.392347230154198,4
"354","trash",0.0850942318675043,4
"355","tree",0.349514563106796,3
"356","truck",0.577955454026271,4
"357","tummy",0.134209023415191,4
"358","turkey",0.0622501427755568,4
"359","turtle",0.127926898914906,4
"360","tv",0.0896630496858938,4
"361","uh oh",1.07995431182182,2
"362","uncle",0.0148486579097658,4
"363","under",0.392347230154198,4
"364","up",6.18732153055397,2
"365","vacuum",0.0342661336379212,7
"366","vroom",0.0194174757281553,4
"367","wait",0.824671616219303,3
"368","walk",0.451170759565962,3
"369","wanna",3.68246716162193,5
"370","wash",0.441462021701885,3
"371","watch",0.802969731581953,4
"372","watch",0.802969731581953,4
"373","water",0.946316390633923,4
"374","water",0.946316390633923,4
"375","wet",0.264991433466591,3
"376","what",20.9297544260423,3
"377","when",1.78983438035408,3
"378","where",4.14277555682467,2
"379","who",1.87435750999429,2
"380","why",2.2598515134209,2
"381","window",0.227869788692176,5
"382","wipe",0.207881210736722,3
"383","woof woof",0.0302684180468304,3
"384","work",0.423186750428327,3
"385","write",0.318103940605368,3
"386","yes",3.27812678469446,3
"387","you",58.3083952027413,2
"388","your",12.0279840091376,2
"389","yucky",0.096516276413478,4
"390","yum yum",0.0731010850942319,3
"391","zipper",0.0850942318675043,4
"392","zoo",0.173615077098801,2
